,1/22/2020 0:00,1/23/2020 0:00,1/24/2020 0:00,1/25/2020 0:00,1/26/2020 0:00,1/27/2020 0:00,1/28/2020 0:00,1/29/2020 0:00,1/30/2020 0:00,1/31/2020 0:00,2/1/2020 0:00,2/2/2020 0:00,2/3/2020 0:00,2/4/2020 0:00,2/5/2020 0:00,2/6/2020 0:00,2/7/2020 0:00,2/8/2020 0:00,2/9/2020 0:00,2/10/2020 0:00,2/11/2020 0:00,2/12/2020 0:00,2/13/2020 0:00,2/14/2020 0:00,2/15/2020 0:00,2/16/2020 0:00,2/17/2020 0:00,2/18/2020 0:00,2/19/2020 0:00,2/20/2020 0:00,2/21/2020 0:00,2/22/2020 0:00,2/23/2020 0:00,2/24/2020 0:00,2/25/2020 0:00,2/26/2020 0:00,2/27/2020 0:00,2/28/2020 0:00,2/29/2020 0:00,3/1/2020 0:00,3/2/2020 0:00,3/3/2020 0:00,3/4/2020 0:00,3/5/2020 0:00,3/6/2020 0:00,3/7/2020 0:00,3/8/2020 0:00,3/9/2020 0:00,3/10/2020 0:00,3/11/2020 0:00,3/12/2020 0:00,3/13/2020 0:00,3/14/2020 0:00,3/15/2020 0:00,3/16/2020 0:00,3/17/2020 0:00,3/18/2020 0:00,3/19/2020 0:00,3/20/2020 0:00,3/21/2020 0:00,3/22/2020 0:00,3/23/2020 0:00,3/24/2020 0:00,3/25/2020 0:00,3/26/2020 0:00,3/27/2020 0:00,3/28/2020 0:00,3/29/2020 0:00,3/30/2020 0:00,3/31/2020 0:00,4/1/2020 0:00,4/2/2020 0:00,4/3/2020 0:00,4/4/2020 0:00,4/5/2020 0:00,4/6/2020 0:00,4/7/2020 0:00,4/8/2020 0:00,4/9/2020 0:00,4/10/2020 0:00,4/11/2020 0:00,4/12/2020 0:00,4/13/2020 0:00,4/14/2020 0:00,4/15/2020 0:00,4/16/2020 0:00,4/17/2020 0:00,4/18/2020 0:00,4/19/2020 0:00,4/20/2020 0:00,4/21/2020 0:00,4/22/2020 0:00,4/23/2020 0:00,4/24/2020 0:00,4/25/2020 0:00,4/26/2020 0:00,4/27/2020 0:00,4/28/2020 0:00,4/29/2020 0:00,4/30/2020 0:00,5/1/2020 0:00,5/2/2020 0:00,5/3/2020 0:00,5/4/2020 0:00,5/5/2020 0:00,5/6/2020 0:00,5/7/2020 0:00,5/8/2020 0:00,5/9/2020 0:00,5/10/2020 0:00,5/11/2020 0:00,5/12/2020 0:00,5/13/2020 0:00,5/14/2020 0:00,5/15/2020 0:00,5/16/2020 0:00,5/17/2020 0:00,5/18/2020 0:00,5/19/2020 0:00,5/20/2020 0:00,5/21/2020 0:00,5/22/2020 0:00,5/23/2020 0:00,5/24/2020 0:00,5/25/2020 0:00,5/26/2020 0:00,5/27/2020 0:00,5/28/2020 0:00,5/29/2020 0:00,5/30/2020 0:00,5/31/2020 0:00,6/1/2020 0:00,6/2/2020 0:00,6/3/2020 0:00,6/4/2020 0:00,6/5/2020 0:00,6/6/2020 0:00,6/7/2020 0:00,6/8/2020 0:00,6/9/2020 0:00,6/10/2020 0:00,6/11/2020 0:00,6/12/2020 0:00,6/13/2020 0:00,6/14/2020 0:00,6/15/2020 0:00
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,3,2,8,14,6,17,10,16,17,12,5,14,10,4,10,14,14,6,22,13,9,11,11,15,5,8,8,7,9,5,5,2,8,6,2,2,0,2,4,6,4,0,9,1,3,2,1,1,2,3,1,1,2,2,0,4,1,4,4,3,0,3,0,2,4,0,1,2,1,13,5,4,26,7,20,18,8,11,12,8,19,10,20,17,15,29,7,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,7,10,12,27,28,25,26,39,46,144,145,108,81,110,117,52,107,164,265,98,208,165,191,302,339,170,254,321,220,150,288,163,168,151,223,478,244,163,240,-45,187,414,-88,408,158,201,-12,317,277,424,367,12,552,396,284,222,268,252,271,402,304,339,-210,816,-211,924,347,294,447,353,516,548,457,467,593,327,596,193,333,80,231,314,658,446,930,-8,578,845,865,1658,919,426
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,4,1,7,13,27,36,18,46,33,33,76,43,37,23,34,61,56,54,65,59,5,110,62,78,78,56,75,32,73,103,88,85,52,67,75,4,183,298,19,184,345,99,32,114,66,71,63,55,62,59,38,27,115,54,82,237,0,59,121,72,112,115,115,181,54,110,80,455,154,163,147,107,151,97,261,239,236,240,190,375,249,358,226,450,325,314,340,288,448,731,548,406,416
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,2,1,0,1,2,1,5,0,9,17,19,41,48,101,73,75,107,157,108,146,238,132,124,185,171,250,250,187,119,151,292,94,281,146,163,104,156,272,273,212,210,135,187,208,310,276,235,246,190,232,254,446,314,402,276,279,386,402,238,581,434,159,261,356,440,498,495,462,306,233,396,331,418,293,431,300,222,222,479,501,702,790,681,187,1127,973,530,1579,1119,1438,789,618,1556,1412,1654,1540,1233,1014
4,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,9,8,7,9,11,0,54,25,17,23,49,40,47,58,78,149,56,330,322,230,175,222,580,471,795,953,529,480,1170,1222,24,1036,2833,2,1412,898,1529,1092,1352,1163,1143,1179,554,990,1086,1758,1346,1435,0,2015,2283,2135,1973,1885,1883,1027,1300,1567,1469,2417,1525,1755,1419,1321,1275,2603,1799,1898,2049,2119,1259,1443,1759,2023,1772,1857,2046,1591,1365,2262,2140,2247,2187,2079,1848,2175,2247,2717,2189,2992,3705,2423,2304,2377,2120,3094,3115,2796,2507,2170,2702,3090,2702,3660,3212,2597
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,4,5,17,15,0,0,95,16,23,33,61,86,112,116,129,201,165,344,304,327,246,320,339,376,386,445,392,385,222,257,226,547,163,528,410,388,250,339,302,465,386,201,385,349,457,357,1002,684,482,448,440,437,507,486,452,414,344,439,421,580,475,523,316,103,356,310,361,369,380,286,298,304,353,369,334,482,200,89,277,492,126,492,485,280,199,211,272,300,255,233,153,182,164,152,148,175,195,113,169
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,19,15,27,28,63,35,29,104,88,203,257,137,279,233,469,578,557,429,267,1091,361,399,1231,875,1000,1003,347,1379,525,1346,608,766,1129,925,741,412,1853,545,2109,631,821,661,687,728,315,455,933,1064,523,25,661,648,374,789,627,573,570,211,568,522,609,621,618,716,697,314,587,191,432,382,446,405,430,-15,271,203,260,179,539,239,112,148,221,358,150,124,87,168,114,228,305,94,147
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,14,5,9,8,32,6,21,18,21,46,48,36,37,38,59,94,0,91,67,104,145,96,99,114,229,83,137,118,97,80,103,139,153,126,190,127,134,171,108,155,167,171,142,51,102,112,217,335,139,219,154,152,139,193,245,203,170,117,96,99,152,135,171,81,147,164,117,237,105,73,144,115,109,72,86,46,179,84,56,29,130,104,79,70,63,57,85,63,52,65,55,58,32
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,8,10,4,9,6,11,31,17,15,24,22,49,18,32,55,49,25,57,143,80,110,145,188,93,117,153,146,136,165,88,61,248,215,207,0,455,108,134,0,134,586,413,80,79,0,184,120,170,80,83,407,333,0,336,118,176,211,271,150,0,174,322,168,157,192,143,161,0,119,258,29,75,65,186,76,108,79,27,34,27,72,97,30,48,36,51,66,56,35,76,63
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,13,0,7,5,0,24,81,6,53,104,94,117,196,231,204,232,488,491,702,823,891,721,1001,1005,1199,1231,1248,788,1253,1088,932,1089,1125,997,892,1057,590,881,809,1392,731,801,731,798,664,1052,864,289,684,610,696,332,1372,1038,735,506,928,542,563,826,371,802,-113,1094,941,479,808,-270,1871,777,854,502,527,1204,776,676,740,879,509,379,-716,1196,915,735,651,586,1292,1408,1292,1253,1170,962,1070,1331,1677,1885,2248,2061,1738
